id,value
Carrier,
Carrier.B6,
Carrier.B6.cancelA,883
Carrier.B6.cancelB,0
Carrier.B6.cancelC,928
Carrier.B6.cancelD,1
Carrier.AA,
Carrier.AA.cancelA,2879
Carrier.AA.cancelB,0
Carrier.AA.cancelC,730
Carrier.AA.cancelD,4
Carrier.F9,
Carrier.F9.cancelA,308
Carrier.F9.cancelB,0
Carrier.F9.cancelC,0
Carrier.F9.cancelD,0
Carrier.WN,
Carrier.WN.cancelA,6122
Carrier.WN.cancelB,0
Carrier.WN.cancelC,1066
Carrier.WN.cancelD,12
Carrier.AS,
Carrier.AS.cancelA,334
Carrier.AS.cancelB,0
Carrier.AS.cancelC,18
Carrier.AS.cancelD,0
Carrier.UA,
Carrier.UA.cancelA,2870
Carrier.UA.cancelB,0
Carrier.UA.cancelC,391
Carrier.UA.cancelD,0
Carrier.HA,
Carrier.HA.cancelA,170
Carrier.HA.cancelB,0
Carrier.HA.cancelC,0
Carrier.HA.cancelD,0
Carrier.VX,
Carrier.VX.cancelA,157
Carrier.VX.cancelB,0
Carrier.VX.cancelC,365
Carrier.VX.cancelD,0
Carrier.DL,
Carrier.DL.cancelA,594
Carrier.DL.cancelB,0
Carrier.DL.cancelC,257
Carrier.DL.cancelD,0
Carrier.9E,
Carrier.9E.cancelA,0
Carrier.9E.cancelB,0
Carrier.9E.cancelC,0
Carrier.9E.cancelD,0
