2015_total,2014_ontime,2015_ontime,2013_ontime,2015_cancel,2013_cancel,2015_cancelC,2015_cancelB,2015_cancelA,2015_cancelD,2012_cancelA,2011_cancel,2011_ontime,2013_total,2011_cancelD,2011_cancelC,2011_cancelB,2011_cancelA,2014_cancelD,2012_cancel,2011_total,2012_total,2014_cancelB,2014_cancel,2014_cancelC,2012_cancelD,Carrier,2012_ontime,2012_cancelB,2012_cancelC,2013_cancelA,2013_cancelC,2013_cancelB,2014_total,2013_cancelD,2014_cancelA
267048,0.612420052,0.618053683,0.57781344,0.983987897,0.991674146,928,2464,883,1,398,0.983284512,0.580350148,241777,0,35,3351,540,0,0.989578968,234872,229056,2980,0.975666118,1319,2,B6,0.643074183,1841,146,585,128,1295,249693,5,1777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571977,0.595129012,0.627228018,0.596899142,0.973371307,0.971541186,6544,5082,3604,1,5506,0.972558782,0.619581287,748696,0,493,2605,6591,2,0.97938598,353082,740855,12235,0.950252252,15586,3,EV,0.643281074,5023,4740,4950,9434,6846,686021,77,6305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.648342663,,0.584695778,,0.992377208,,,,,409,0.989473215,0.675694757,173952,0,287,1911,635,0,0.993073954,269123,218162,1139,0.980929618,72,0,FL,0.702294625,934,168,714,260,352,79495,0,305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725984,0.578872488,0.652621821,0.609922828,0.984959724,0.98187551,730,7306,2879,4,4070,0.976234976,0.618491251,537891,0,2251,5612,5946,0,0.981780968,581064,525220,5523,0.984271811,837,2,AA,0.588300141,4279,1218,3018,870,5841,537697,20,2097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198715,0.624424535,0.616108497,0.617247007,0.979533503,0.990227294,570,2490,1007,0,1532,0.984730617,0.621537106,412373,2,917,3033,2806,7,0.990130188,442585,404263,3045,0.98375315,1197,0,US,0.685427556,1979,479,1922,799,1297,414665,12,2488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90836,0.500456279,0.546083051,0.459688938,0.993526796,0.996257208,0,280,308,0,105,0.993444854,0.537068435,75612,0,0,533,74,0,0.996845625,92599,79255,196,0.995823291,0,0,F9,0.493899439,141,4,115,0,160,85474,8,161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.989015403,0.546755865,,0,36,2477,413,,,266373,,,,,,CO,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.58929053,,0.974070763,,,,,1247,0.978531401,0.689906563,140922,0,403,884,2341,,0.985803427,168991,133976,,,,0,YV,0.677434764,487,168,2561,427,660,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261855,0.522672188,0.626924647,0.537054791,0.987286178,0.992535624,1066,8843,6122,12,5718,0.989988479,0.626476565,1130704,3,673,4700,7137,0,0.991600433,1249860,1140535,5967,0.987089585,2054,2,WN,0.642225798,2971,889,4010,1242,3188,1174633,0,7144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172521,0.646392981,0.66987787,0.655008627,0.996122211,0.995450521,18,317,334,0,479,0.993082393,0.711843665,154743,0,21,598,455,0,0.99188854,155256,147569,413,0.995263857,31,0,AS,0.712507369,696,22,319,44,340,160257,1,315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117379,,0.515356239,,0.982927099,,279,1068,654,3,,,,,,,,,,,,,,,,,NK,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
