Origin,Destination,Carrier,Month,Delay Percentage,Total Flights,Delay Flights,Total Delay Time(min),Carrier Delay,Weather Delay,NAS Delay,Security Delay,Aircraft Delay
ATL,BOS,WN,12,46%,127,58,2229,838,68,273,0,1050
ATL,BWI,WN,12,50%,545,270,7512,2312,480,497,21,4202
ATL,DCA,WN,12,34%,353,121,3194,1022,94,311,0,1767
ATL,DEN,WN,12,43%,337,144,3711,1461,87,341,32,1790
ATL,DTW,WN,12,41%,124,51,1108,449,0,22,0,637
ATL,FLL,WN,12,51%,213,109,2798,906,394,479,8,1011
ATL,LAS,WN,12,53%,342,180,5598,1931,95,976,0,2596
ATL,LAX,WN,12,50%,276,139,4590,1591,169,779,0,2051
ATL,LGA,WN,12,47%,359,169,6054,1485,1215,1938,0,1416
ATL,MCO,WN,12,55%,434,237,7809,2308,110,748,0,4643
ATL,MDW,WN,12,41%,574,234,6521,2189,286,795,12,3239
ATL,MSP,WN,12,33%,126,42,964,254,37,92,0,581
ATL,PHL,WN,12,52%,126,65,2707,704,196,360,0,1447
ATL,PHX,WN,12,54%,247,134,3512,1268,111,658,0,1475
ATL,SAN,WN,12,61%,124,76,2261,673,35,480,0,1073
ATL,SFO,WN,12,50%,129,64,2457,746,191,955,0,565
ATL,TPA,WN,12,45%,280,126,4782,1522,155,224,5,2876
BOS,ATL,WN,12,38%,127,48,1537,512,378,164,8,475
BOS,BWI,WN,12,44%,1144,501,14558,3785,1225,2333,57,7158
BOS,DEN,WN,12,39%,304,119,2994,598,197,973,29,1197
BOS,MDW,WN,12,40%,636,255,6817,1833,943,1221,16,2804
BOS,PHL,WN,12,21%,202,43,2338,498,565,807,0,468
BOS,PHX,WN,12,39%,31,12,159,8,0,129,0,22
BWI,ATL,WN,12,53%,544,286,7526,2739,591,1536,15,2645
BWI,BOS,WN,12,46%,1140,521,13602,4008,723,1921,59,6891
BWI,CLT,WN,12,66%,181,119,3971,1586,133,573,0,1679
BWI,DEN,WN,12,49%,496,244,5746,2197,478,1186,20,1865
BWI,DTW,WN,12,50%,456,228,5240,1441,179,553,0,3067
BWI,EWR,WN,12,49%,181,89,4194,813,229,2092,0,1060
BWI,FLL,WN,12,50%,1016,504,15556,6149,766,2915,0,5726
BWI,LAS,WN,12,39%,522,205,5870,2659,30,1569,14,1598
BWI,LAX,WN,12,40%,191,76,2813,757,14,583,6,1453
BWI,LGA,WN,12,42%,182,77,3940,770,579,1892,0,699
BWI,MCO,WN,12,45%,1112,505,13831,6070,276,2069,35,5381
BWI,MDW,WN,12,42%,871,367,8274,3151,261,1298,37,3527
BWI,PHX,WN,12,42%,352,149,3713,1489,114,996,0,1114
BWI,SAN,WN,12,38%,306,117,3596,1441,0,945,7,1203
BWI,SEA,WN,12,19%,31,6,113,67,0,26,0,20
BWI,SLC,WN,12,43%,155,67,2071,974,0,376,0,721
BWI,TPA,WN,12,45%,885,398,13603,5409,383,1535,22,6254
CLT,BWI,WN,12,57%,183,105,2856,671,55,425,15,1690
CLT,MCO,WN,12,77%,31,24,443,55,0,114,0,274
CLT,MDW,WN,12,35%,184,65,2069,457,207,124,0,1281
DCA,ATL,WN,12,57%,355,204,4156,687,110,1252,0,2107
DCA,FLL,WN,12,52%,31,16,652,233,0,119,0,300
DCA,MCO,WN,12,45%,31,14,595,227,0,2,0,366
DCA,MDW,WN,12,22%,523,113,3910,950,41,346,0,2573
DCA,TPA,WN,12,36%,121,44,1868,930,41,187,0,710
DEN,ATL,WN,12,60%,338,203,6349,2111,56,703,0,3479
DEN,BOS,WN,12,44%,299,133,3708,1565,4,558,0,1581
DEN,BWI,WN,12,49%,491,239,6451,2775,20,828,0,2828
DEN,DTW,WN,12,57%,309,176,4957,1852,0,416,0,2689
DEN,EWR,WN,12,64%,324,208,10760,3042,1270,4154,0,2294
DEN,FLL,WN,12,51%,235,121,2467,841,1,428,0,1197
DEN,IAD,WN,12,49%,354,172,3878,1352,22,202,0,2302
DEN,LAS,WN,12,47%,1239,586,15306,4143,827,2403,8,7925
DEN,LAX,WN,12,54%,1005,546,16241,5582,27,2354,59,8219
DEN,LGA,WN,12,59%,239,140,7069,2110,954,2409,0,1596
DEN,MCO,WN,12,54%,471,255,6036,2483,208,1287,0,2058
DEN,MDW,WN,12,49%,1202,588,17154,5553,582,1667,0,9352
DEN,MSP,WN,12,58%,612,355,9480,2967,256,892,0,5365
DEN,PDX,WN,12,56%,560,313,8391,3167,94,1037,0,4093
DEN,PHL,WN,12,53%,350,185,7199,2088,573,1702,0,2836
DEN,PHX,WN,12,49%,1322,644,19286,6665,118,2238,0,10265
DEN,SAN,WN,12,52%,749,390,10688,3871,56,1555,0,5206
DEN,SEA,WN,12,57%,578,328,10131,3480,113,780,0,5758
DEN,SFO,WN,12,60%,576,345,14937,2283,2855,4952,0,4847
DEN,SLC,WN,12,59%,837,497,13519,5998,293,1091,0,6137
DEN,TPA,WN,12,50%,307,155,3727,1642,121,765,0,1199
DTW,ATL,WN,12,38%,125,48,1036,222,116,372,18,308
DTW,BWI,WN,12,40%,455,183,5243,1217,465,1110,0,2451
DTW,DEN,WN,12,43%,309,133,3714,895,268,1245,29,1277
DTW,LAS,WN,12,38%,122,46,1239,191,41,371,6,630
DTW,MCO,WN,12,59%,32,19,298,39,0,253,6,0
DTW,MDW,WN,12,41%,760,309,7418,1384,458,2214,16,3346
DTW,PHX,WN,12,39%,155,61,1386,384,31,446,16,509
EWR,BWI,WN,12,47%,180,84,2868,266,90,592,67,1853
EWR,DEN,WN,12,52%,320,167,6495,1524,44,1057,51,3819
EWR,MDW,WN,12,45%,863,391,15352,2035,751,1684,228,10654
EWR,PHX,WN,12,61%,216,131,3949,1000,24,1020,105,1800
FLL,ATL,WN,12,25%,214,53,1103,431,106,151,0,415
FLL,BWI,WN,12,35%,1005,350,10579,2256,227,775,5,7316
FLL,DCA,WN,12,52%,31,16,427,299,0,5,0,123
FLL,DEN,WN,12,31%,235,73,2082,455,0,763,0,864
FLL,LAS,WN,12,32%,155,50,760,178,0,285,0,297
FLL,MCO,WN,12,31%,215,67,1441,241,0,159,0,1041
FLL,MDW,WN,12,35%,558,194,6822,1996,164,881,4,3777
FLL,PHL,WN,12,49%,340,165,6589,1048,444,1290,0,3807
FLL,PHX,WN,12,19%,31,6,35,22,0,1,0,12
FLL,TPA,WN,12,38%,765,287,8258,1585,0,424,0,6249
IAD,DEN,WN,12,33%,348,114,3981,1237,67,758,0,1919
IAD,LAS,WN,12,37%,62,23,748,303,0,239,0,206
IAD,MDW,WN,12,35%,604,209,4017,963,201,822,12,2019
IAD,SAN,WN,12,50%,38,19,410,54,0,210,0,146
LAS,ATL,WN,12,44%,339,148,2714,1571,0,166,0,977
LAS,BWI,WN,12,32%,525,170,3405,1264,0,331,0,1810
LAS,DEN,WN,12,44%,1251,550,13153,3468,378,1274,0,8033
LAS,DTW,WN,12,44%,122,54,1200,379,0,179,0,642
LAS,FLL,WN,12,66%,155,103,3869,2628,15,139,0,1087
LAS,IAD,WN,12,47%,62,29,572,250,0,7,0,315
LAS,LAX,WN,12,58%,1749,1014,24780,6852,237,4927,36,12728
LAS,MCO,WN,12,59%,303,178,3808,1854,0,366,0,1588
LAS,MDW,WN,12,43%,1208,518,13629,4931,73,1134,48,7443
LAS,PDX,WN,12,56%,599,334,10830,3882,42,775,27,6104
LAS,PHL,WN,12,60%,153,92,3493,1248,0,306,0,1939
LAS,PHX,WN,12,48%,1674,800,18068,5123,50,1713,33,11149
LAS,SAN,WN,12,54%,1675,905,21582,6479,75,1623,51,13354
LAS,SEA,WN,12,59%,601,352,9934,3197,142,855,0,5740
LAS,SFO,WN,12,55%,960,530,27477,3899,2651,11025,13,9889
LAS,SLC,WN,12,60%,844,509,12810,4391,0,445,19,7955
LAS,TPA,WN,12,48%,165,80,1195,297,0,63,33,802
LAX,ATL,WN,12,52%,269,139,3458,1363,0,236,15,1844
LAX,BWI,WN,12,46%,192,88,1725,531,0,470,0,724
LAX,DEN,WN,12,59%,1002,587,16326,4248,245,1572,15,10246
LAX,LAS,WN,12,57%,1747,999,27671,7488,421,3059,0,16703
LAX,MDW,WN,12,47%,918,427,10292,4063,60,1281,8,4880
LAX,PDX,WN,12,52%,61,32,547,125,0,65,0,357
LAX,PHX,WN,12,59%,1339,788,21885,6264,132,1731,30,13728
LAX,SFO,WN,12,52%,1445,751,39114,5402,1700,12882,0,19130
LAX,SLC,WN,12,67%,421,283,8850,2366,17,481,15,5971
LGA,ATL,WN,12,40%,356,144,4890,813,189,575,0,3313
LGA,BWI,WN,12,30%,185,56,2233,480,152,344,38,1219
LGA,DEN,WN,12,43%,241,103,4828,1405,141,1071,45,2166
LGA,MDW,WN,12,41%,889,368,13385,1860,275,1479,87,9684
MCO,ATL,WN,12,40%,430,170,3791,1035,0,745,12,1999
MCO,BWI,WN,12,39%,1113,435,11960,3113,111,1115,16,7605
MCO,CLT,WN,12,90%,31,28,955,182,0,151,0,622
MCO,DCA,WN,12,39%,31,12,484,461,19,4,0,0
MCO,DEN,WN,12,41%,473,196,5369,1129,334,867,8,3031
MCO,DTW,WN,12,81%,31,25,1695,635,0,125,0,935
MCO,FLL,WN,12,49%,222,109,1973,659,55,316,0,943
MCO,LAS,WN,12,38%,302,115,1778,681,0,480,0,617
MCO,MDW,WN,12,36%,1013,364,9010,2592,122,1116,46,5134
MCO,MSP,WN,12,61%,62,38,1683,478,0,257,0,948
MCO,PHL,WN,12,44%,617,272,12804,4146,894,3254,0,4510
MCO,PHX,WN,12,47%,155,73,1213,366,0,267,0,580
MCO,SAN,WN,12,67%,43,29,831,319,0,74,14,424
MDW,ATL,WN,12,52%,579,299,7709,2698,194,1254,20,3543
MDW,BOS,WN,12,41%,622,254,5981,1870,163,1234,21,2693
MDW,BWI,WN,12,43%,879,378,8896,3569,382,967,13,3965
MDW,CLT,WN,12,53%,186,99,2735,947,90,337,0,1361
MDW,DCA,WN,12,35%,522,185,5251,1305,905,485,0,2556
MDW,DEN,WN,12,47%,1216,573,17792,6150,1380,2699,43,7520
MDW,DTW,WN,12,46%,767,350,9584,3615,243,1058,0,4668
MDW,EWR,WN,12,53%,859,456,18739,5048,2606,5908,32,5145
MDW,FLL,WN,12,50%,555,277,7612,3499,461,1055,0,2597
MDW,IAD,WN,12,40%,598,240,6608,2548,46,594,11,3409
MDW,LAS,WN,12,44%,1219,539,16017,5332,445,3536,135,6569
MDW,LAX,WN,12,48%,892,425,12670,4623,352,2860,14,4821
MDW,LGA,WN,12,47%,886,415,15086,3519,2640,4875,13,4039
MDW,MCO,WN,12,43%,1012,438,12882,5447,145,1827,23,5440
MDW,MSP,WN,12,47%,1049,498,11860,3851,508,1169,87,6245
MDW,PDX,WN,12,50%,203,102,2661,1605,0,366,0,690
MDW,PHL,WN,12,49%,834,408,17507,4324,2904,3758,0,6521
MDW,PHX,WN,12,45%,947,424,11283,4665,395,2482,51,3690
MDW,SAN,WN,12,50%,488,242,7442,2884,211,1545,0,2802
MDW,SEA,WN,12,52%,322,168,4697,2651,36,835,35,1140
MDW,SFO,WN,12,51%,385,197,9073,3192,903,2962,10,2006
MDW,SLC,WN,12,53%,310,163,5242,2411,51,754,38,1988
MDW,TPA,WN,12,44%,619,273,7741,2947,81,1276,0,3437
MSP,ATL,WN,12,54%,127,69,2101,546,135,524,0,896
MSP,DEN,WN,12,41%,617,250,8207,2543,236,1720,133,3575
MSP,MCO,WN,12,60%,62,37,1123,291,11,366,96,359
MSP,MDW,WN,12,38%,1033,393,11750,2549,394,2852,14,5941
MSP,PHX,WN,12,48%,306,146,4723,1522,325,1101,0,1775
