YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,DEST,ARR_DELAY_NEW,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,CANCELLED,CANCELLATION_CODE
2015,10,1,4,AS,DCA,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,DCA,0,0,0,0,0,0,0,
2015,10,1,4,AS,DCA,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,DCA,2,0,0,0,0,0,0,
2015,10,1,4,AS,DCA,LAX,5,0,0,0,0,0,0,
2015,10,1,4,AS,LAX,DCA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,EWR,0,0,0,0,0,0,0,
2015,10,1,4,AS,EWR,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,BOS,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,EWR,5,0,0,0,0,0,0,
2015,10,1,4,AS,BOS,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,MCO,11,0,0,0,0,0,0,
2015,10,1,4,AS,EWR,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,JFK,3,0,0,0,0,0,0,
2015,10,1,4,AS,MCO,SEA,11,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,ORD,0,0,0,0,0,0,0,
2015,10,1,4,AS,ORD,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,ORD,0,0,0,0,0,0,0,
2015,10,1,4,AS,ORD,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,BOS,8,0,0,0,0,0,0,
2015,10,1,4,AS,BOS,SEA,2,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,ORD,0,0,0,0,0,0,0,
2015,10,1,4,AS,ORD,SEA,1,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,MSP,0,0,0,0,0,0,0,
2015,10,1,4,AS,ORD,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,PDX,BOS,0,0,0,0,0,0,0,
2015,10,1,4,AS,PHL,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,PHL,0,0,0,0,0,0,0,
2015,10,1,4,AS,BOS,PDX,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,ORD,0,0,0,0,0,0,0,
2015,10,1,4,AS,FLL,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,MSP,33,33,0,0,0,0,0,
2015,10,1,4,AS,MSP,SEA,42,14,0,0,0,28,0,
2015,10,1,4,AS,SEA,FLL,0,0,0,0,0,0,0,
2015,10,1,4,AS,MSP,SEA,4,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,SFO,0,0,0,0,0,0,0,
2015,10,1,4,AS,SFO,SEA,17,0,0,17,0,0,0,
2015,10,1,4,AS,SAN,SEA,12,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,SAN,14,0,0,0,0,0,0,
2015,10,1,4,AS,SAN,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SFO,PDX,5,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,SAN,20,20,0,0,0,0,0,
2015,10,1,4,AS,PDX,SFO,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,SFO,1,0,0,0,0,0,0,
2015,10,1,4,AS,SFO,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,SFO,0,0,0,0,0,0,0,
2015,10,1,4,AS,SFO,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,SFO,28,0,26,2,0,0,0,
2015,10,1,4,AS,SEA,SFO,0,0,0,0,0,0,0,
2015,10,1,4,AS,SFO,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SFO,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,SFO,SEA,21,0,0,8,0,13,0,
2015,10,1,4,AS,SEA,SFO,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,SFO,0,0,0,0,0,0,0,
2015,10,1,4,AS,SEA,SFO,2,0,0,0,0,0,0,
2015,10,1,4,AS,SFO,SEA,25,0,0,19,0,6,0,
2015,10,1,4,AS,SFO,PDX,0,0,0,0,0,0,0,
2015,10,1,4,AS,PDX,SFO,0,0,0,0,0,0,0,
2015,10,1,4,AS,SFO,PDX,0,0,0,0,0,0,0,
2015,10,1,4,AS,PDX,SFO,0,0,0,0,0,0,0,
2015,10,1,4,AS,SFO,SEA,0,0,0,0,0,0,0,
2015,10,1,4,AS,PDX,SFO,0,0,0,0,0,0,0,
2015,10,1,4,AS,SFO,PDX,0,0,0,0,0,0,0,
2015,10,1,4,AS,SFO,PDX,0,0,0,0,0,0,0,
