YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,DEST,ARR_DELAY_NEW,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,CANCELLED,CANCELLATION_CODE
2015,12,2,3,B6,DCA,TPA,16,12,0,3,0,1,0,
2015,12,2,3,B6,TPA,DCA,33,0,0,26,0,7,0,
2015,12,3,4,B6,JFK,TPA,22,10,0,12,0,0,0,
2015,12,3,4,B6,TPA,JFK,23,8,0,0,0,15,0,
2015,12,3,4,B6,JFK,LAS,0,0,0,0,0,0,0,
2015,12,3,4,B6,LAS,JFK,23,8,0,15,0,0,0,
2015,12,3,4,B6,FLL,EWR,0,0,0,0,0,0,0,
2015,12,3,4,B6,EWR,FLL,31,0,0,31,0,0,0,
2015,12,3,4,B6,FLL,BOS,0,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,MCO,7,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,DFW,0,0,0,0,0,0,0,
2015,12,3,4,B6,DFW,BOS,0,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,SAN,0,0,0,0,0,0,0,
2015,12,3,4,B6,SAN,BOS,0,0,0,0,0,0,0,
2015,12,3,4,B6,FLL,LGA,0,0,0,0,0,0,0,
2015,12,3,4,B6,JFK,PDX,18,18,0,0,0,0,0,
2015,12,3,4,B6,BOS,FLL,17,0,0,17,0,0,0,
2015,12,3,4,B6,FLL,BOS,3,0,0,0,0,0,0,
2015,12,3,4,B6,EWR,MCO,9,0,0,0,0,0,0,
2015,12,3,4,B6,TPA,JFK,15,1,0,0,0,14,0,
2015,12,3,4,B6,BOS,SEA,8,0,0,0,0,0,0,
2015,12,3,4,B6,SEA,BOS,27,6,0,21,0,0,0,
2015,12,3,4,B6,BOS,FLL,106,73,0,6,0,27,0,
2015,12,3,4,B6,LGA,FLL,49,5,0,44,0,0,0,
2015,12,3,4,B6,FLL,LGA,56,20,0,0,0,36,0,
2015,12,3,4,B6,LGA,MCO,49,12,0,0,0,37,0,
2015,12,3,4,B6,JFK,TPA,31,0,0,31,0,0,0,
2015,12,3,4,B6,TPA,JFK,6,0,0,0,0,0,0,
2015,12,3,4,B6,JFK,TPA,27,11,0,16,0,0,0,
2015,12,3,4,B6,BWI,FLL,0,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,DEN,0,0,0,0,0,0,0,
2015,12,3,4,B6,DEN,BOS,0,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,PHX,0,0,0,0,0,0,0,
2015,12,3,4,B6,PHX,BOS,9,0,0,0,0,0,0,
2015,12,3,4,B6,FLL,LAX,3,0,0,0,0,0,0,
2015,12,3,4,B6,LAX,FLL,12,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,JFK,0,0,0,0,0,0,0,
2015,12,3,4,B6,TPA,JFK,0,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,SFO,46,0,0,0,0,46,0,
2015,12,3,4,B6,JFK,SAN,0,0,0,0,0,0,0,
2015,12,3,4,B6,SAN,JFK,0,0,0,0,0,0,0,
2015,12,3,4,B6,LGA,FLL,26,15,0,11,0,0,0,
2015,12,3,4,B6,FLL,BWI,0,0,0,0,0,0,0,
2015,12,3,4,B6,MCO,JFK,0,0,0,0,0,0,0,
2015,12,3,4,B6,JFK,MCO,17,0,0,17,0,0,0,
2015,12,3,4,B6,MCO,BWI,0,0,0,0,0,0,0,
2015,12,3,4,B6,BWI,FLL,9,0,0,0,0,0,0,
2015,12,3,4,B6,JFK,LAS,0,0,0,0,0,0,0,
2015,12,3,4,B6,LAS,JFK,3,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,LAX,1,0,0,0,0,0,0,
2015,12,3,4,B6,LAX,BOS,4,0,0,0,0,0,0,
2015,12,3,4,B6,FLL,DCA,0,0,0,0,0,0,0,
2015,12,3,4,B6,DCA,MCO,20,0,0,20,0,0,0,
2015,12,3,4,B6,MCO,EWR,18,7,0,0,0,11,0,
2015,12,3,4,B6,MCO,SLC,19,14,0,0,0,5,0,
2015,12,3,4,B6,SLC,MCO,18,3,0,0,0,15,0,
2015,12,3,4,B6,LAX,BOS,12,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,SFO,73,0,0,68,0,5,0,
2015,12,3,4,B6,SFO,BOS,78,5,0,1,0,72,0,
2015,12,3,4,B6,FLL,BOS,0,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,MCO,2,0,0,0,0,0,0,
2015,12,3,4,B6,JFK,SLC,0,0,0,0,0,0,0,
2015,12,3,4,B6,SLC,JFK,6,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,LAX,0,0,0,0,0,0,0,
2015,12,3,4,B6,LAX,BOS,35,0,0,35,0,0,0,
2015,12,3,4,B6,BOS,TPA,62,29,0,0,0,33,0,
2015,12,3,4,B6,JFK,FLL,8,0,0,0,0,0,0,
2015,12,3,4,B6,DTW,FLL,0,0,0,0,0,0,0,
2015,12,3,4,B6,FLL,LGA,0,0,0,0,0,0,0,
2015,12,3,4,B6,LGA,FLL,48,18,0,5,0,25,0,
2015,12,3,4,B6,EWR,MCO,21,0,0,21,0,0,0,
2015,12,3,4,B6,MCO,BOS,0,0,0,0,0,0,0,
2015,12,3,4,B6,JFK,SAN,0,0,0,0,0,0,0,
2015,12,3,4,B6,SAN,JFK,22,0,0,22,0,0,0,
2015,12,3,4,B6,BOS,MCO,25,0,0,25,0,0,0,
2015,12,3,4,B6,FLL,LGA,0,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,MCO,18,0,0,18,0,0,0,
2015,12,3,4,B6,MCO,DCA,0,0,0,0,0,0,0,
2015,12,3,4,B6,PHL,FLL,13,0,0,0,0,0,0,
2015,12,3,4,B6,FLL,SFO,54,0,0,38,0,16,0,
2015,12,3,4,B6,SFO,FLL,42,8,0,0,0,34,0,
2015,12,3,4,B6,DCA,MCO,2,0,0,0,0,0,0,
2015,12,3,4,B6,MCO,LGA,0,0,0,0,0,0,0,
2015,12,3,4,B6,LGA,MCO,32,0,0,32,0,0,0,
2015,12,3,4,B6,MCO,LGA,0,0,0,0,0,0,0,
2015,12,3,4,B6,MCO,LGA,101,101,0,0,0,0,0,
2015,12,3,4,B6,LGA,FLL,118,11,0,7,0,100,0,
2015,12,3,4,B6,SFO,LAS,0,0,0,0,0,0,0,
2015,12,3,4,B6,LAS,SFO,134,0,124,10,0,0,0,
2015,12,3,4,B6,SFO,LAS,87,87,0,0,0,0,0,
2015,12,3,4,B6,LAS,SFO,89,12,0,0,0,77,0,
2015,12,3,4,B6,MCO,BOS,62,0,0,0,0,62,0,
2015,12,3,4,B6,BOS,MCO,105,15,0,34,0,56,0,
2015,12,3,4,B6,MCO,BOS,12,0,0,0,0,0,0,
2015,12,3,4,B6,MCO,EWR,127,14,0,7,0,106,0,
2015,12,3,4,B6,EWR,FLL,168,36,0,13,0,119,0,
2015,12,3,4,B6,FLL,SFO,197,0,0,196,0,1,0,
2015,12,3,4,B6,BOS,FLL,28,0,0,28,0,0,0,
2015,12,3,4,B6,FLL,BOS,31,20,0,0,0,11,0,
2015,12,3,4,B6,MCO,JFK,9,0,0,0,0,0,0,
2015,12,3,4,B6,JFK,SEA,0,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,SFO,0,0,0,0,0,0,0,
2015,12,3,4,B6,SFO,BOS,46,29,0,17,0,0,0,
2015,12,3,4,B6,BOS,SAN,0,0,0,0,0,0,0,
2015,12,3,4,B6,SAN,BOS,13,0,0,0,0,0,0,
2015,12,3,4,B6,FLL,JFK,0,0,0,0,0,0,0,
2015,12,3,4,B6,JFK,FLL,25,19,0,6,0,0,0,
2015,12,3,4,B6,FLL,JFK,0,0,0,0,0,0,0,
2015,12,3,4,B6,SFO,BOS,8,0,0,0,0,0,0,
2015,12,3,4,B6,BOS,LAX,0,0,0,0,0,0,0,
