YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,DEST,ARR_DELAY_NEW,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,CANCELLED,CANCELLATION_CODE
2016,1,1,5,F9,LAX,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,ATL,MCO,0,0,0,0,0,0,0,
2016,1,1,5,F9,MCO,ATL,0,0,0,0,0,0,0,
2016,1,1,5,F9,LAS,ATL,0,0,0,0,0,0,0,
2016,1,1,5,F9,ATL,LAX,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,MIA,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,ATL,0,0,0,0,0,0,0,
2016,1,1,5,F9,ATL,LAS,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,DFW,0,0,0,0,0,0,0,
2016,1,1,5,F9,ORD,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,PHX,ORD,0,0,0,0,0,0,0,
2016,1,1,5,F9,ATL,ORD,28,28,0,0,0,0,0,
2016,1,1,5,F9,ORD,PHX,0,0,0,0,0,0,0,
2016,1,1,5,F9,ATL,DEN,16,14,0,2,0,0,0,
2016,1,1,5,F9,DEN,SFO,0,0,0,0,0,0,0,
2016,1,1,5,F9,SFO,ORD,5,0,0,0,0,0,0,
2016,1,1,5,F9,ORD,ATL,0,0,0,0,0,0,0,
2016,1,1,5,F9,ORD,PHL,0,0,0,0,0,0,0,
2016,1,1,5,F9,PHL,ORD,1,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,SFO,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,DCA,0,0,0,0,0,0,0,
2016,1,1,5,F9,DCA,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,SEA,0,0,0,0,0,0,0,
2016,1,1,5,F9,SEA,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,SFO,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,ORD,SFO,0,0,0,0,0,0,0,
2016,1,1,5,F9,LAX,ORD,0,0,0,0,0,0,0,
2016,1,1,5,F9,SFO,LAS,0,0,0,0,0,0,0,
2016,1,1,5,F9,LAS,SFO,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,MSP,0,0,0,0,0,0,0,
2016,1,1,5,F9,MSP,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,LAX,0,0,0,0,0,0,0,
2016,1,1,5,F9,LAX,ATL,11,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,MSP,0,0,0,0,0,0,0,
2016,1,1,5,F9,MSP,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,DCA,0,0,0,0,0,0,0,
2016,1,1,5,F9,DCA,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,LAS,25,0,0,25,0,0,0,
2016,1,1,5,F9,LAS,MCO,0,0,0,0,0,0,0,
2016,1,1,5,F9,MIA,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,MIA,LGA,0,0,0,0,0,0,0,
2016,1,1,5,F9,LGA,MIA,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,PHX,0,0,0,0,0,0,0,
2016,1,1,5,F9,PHX,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,SFO,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,MSP,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,PDX,0,0,0,0,0,0,0,
2016,1,1,5,F9,PDX,DEN,6,0,0,0,0,0,0,
2016,1,1,5,F9,LAS,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,LAS,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,ORD,54,0,0,54,0,0,0,
2016,1,1,5,F9,ORD,LAX,55,55,0,0,0,0,0,
2016,1,1,5,F9,MCO,LAS,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,SAN,0,0,0,0,0,0,0,
2016,1,1,5,F9,SAN,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,LAS,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,DFW,0,0,0,0,0,0,0,
2016,1,1,5,F9,DFW,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,DFW,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,MSP,0,0,0,0,0,0,0,
2016,1,1,5,F9,IAH,MCO,0,0,0,0,0,0,0,
2016,1,1,5,F9,MCO,IAH,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,MCO,0,0,0,0,0,0,0,
2016,1,1,5,F9,MCO,DEN,3,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,LAS,0,0,0,0,0,0,0,
2016,1,1,5,F9,LAS,DEN,2,0,0,0,0,0,0,
2016,1,1,5,F9,MCO,PHL,0,0,0,0,0,0,0,
2016,1,1,5,F9,PHL,MCO,0,0,0,0,0,0,0,
2016,1,1,5,F9,PHL,MCO,0,0,0,0,0,0,0,
2016,1,1,5,F9,MCO,PHL,0,0,0,0,0,0,0,
2016,1,1,5,F9,PHL,MCO,0,0,0,0,0,0,0,
2016,1,1,5,F9,MCO,DEN,8,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,MCO,0,0,0,0,0,0,0,
2016,1,1,5,F9,MCO,PHL,0,0,0,0,0,0,0,
2016,1,1,5,F9,DCA,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,MCO,0,0,0,0,0,0,0,
2016,1,1,5,F9,MCO,IAD,0,0,0,0,0,0,0,
2016,1,1,5,F9,IAD,ATL,0,0,0,0,0,0,0,
2016,1,1,5,F9,ORD,LAS,34,34,0,0,0,0,0,
2016,1,1,5,F9,MCO,ORD,0,0,0,0,0,0,0,
2016,1,1,5,F9,LAS,MIA,0,0,0,0,0,0,0,
2016,1,1,5,F9,LAS,IAH,0,0,0,0,0,0,0,
2016,1,1,5,F9,IAH,LAS,0,0,0,0,0,0,0,
2016,1,1,5,F9,ORD,LAS,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,ORD,0,0,0,0,0,0,0,
2016,1,1,5,F9,IAH,DEN,0,0,0,0,0,0,0,
2016,1,1,5,F9,DEN,IAH,18,0,0,18,0,0,0,
2016,1,1,5,F9,IAH,PHL,0,0,0,0,0,0,0,
2016,1,1,5,F9,PHL,IAH,0,0,0,0,0,0,0,
