YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,DEST,ARR_DELAY_NEW,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,CANCELLED,CANCELLATION_CODE
2016,7,17,7,HA,HNL,PHX,0,0,0,0,0,0,0,
2016,7,18,1,HA,HNL,PHX,0,0,0,0,0,0,0,
2016,7,19,2,HA,HNL,PHX,0,0,0,0,0,0,0,
2016,7,20,3,HA,HNL,PHX,1,0,0,0,0,0,0,
2016,7,21,4,HA,HNL,PHX,0,0,0,0,0,0,0,
2016,7,22,5,HA,HNL,PHX,0,0,0,0,0,0,0,
2016,7,23,6,HA,HNL,PHX,479,479,0,0,0,0,0,
2016,7,24,7,HA,HNL,PHX,0,0,0,0,0,0,0,
2016,7,25,1,HA,HNL,PHX,7,0,0,0,0,0,0,
2016,7,26,2,HA,HNL,PHX,0,0,0,0,0,0,0,
2016,7,27,3,HA,HNL,PHX,3,0,0,0,0,0,0,
2016,7,28,4,HA,HNL,PHX,22,22,0,0,0,0,0,
2016,7,29,5,HA,HNL,PHX,49,1,48,0,0,0,0,
2016,7,30,6,HA,HNL,PHX,34,34,0,0,0,0,0,
2016,7,31,7,HA,HNL,PHX,37,21,16,0,0,0,0,
2016,7,1,5,HA,HNL,JFK,0,0,0,0,0,0,0,
2016,7,2,6,HA,HNL,JFK,0,0,0,0,0,0,0,
2016,7,3,7,HA,HNL,JFK,0,0,0,0,0,0,0,
2016,7,4,1,HA,HNL,JFK,0,0,0,0,0,0,0,
2016,7,5,2,HA,HNL,JFK,0,0,0,0,0,0,0,
2016,7,6,3,HA,HNL,JFK,0,0,0,0,0,0,0,
2016,7,7,4,HA,HNL,JFK,0,0,0,0,0,0,0,
2016,7,8,5,HA,HNL,JFK,0,0,0,0,0,0,0,
2016,7,9,6,HA,HNL,JFK,0,0,0,0,0,0,0,
2016,7,10,7,HA,HNL,JFK,0,0,0,0,0,0,0,
