YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,DEST,ARR_DELAY_NEW,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,CANCELLED,CANCELLATION_CODE
2016,7,1,5,VX,LAX,IAD,0,0,0,0,0,0,0,
2016,7,1,5,VX,LAX,IAD,126,126,0,0,0,0,0,
2016,7,1,5,VX,LAX,IAD,83,9,0,0,0,74,0,
2016,7,1,5,VX,SAN,SFO,0,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,EWR,177,0,0,177,0,0,0,
2016,7,1,5,VX,JFK,SFO,0,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,JFK,28,0,0,28,0,0,0,
2016,7,1,5,VX,SFO,BOS,9,0,0,0,0,0,0,
2016,7,1,5,VX,BOS,SFO,0,0,0,0,0,0,0,
2016,7,1,5,VX,EWR,LAX,9,0,0,0,0,0,0,
2016,7,1,5,VX,LAX,EWR,174,0,0,174,0,0,0,
2016,7,1,5,VX,EWR,LAX,0,0,0,0,0,0,0,
2016,7,1,5,VX,LAX,EWR,0,0,0,0,0,0,0,
2016,7,1,5,VX,EWR,LAX,183,12,0,0,0,171,0,
2016,7,1,5,VX,LAX,EWR,0,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,SEA,0,0,0,0,0,0,0,
2016,7,1,5,VX,SEA,SFO,0,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,EWR,160,0,0,160,0,0,0,
2016,7,1,5,VX,SEA,LAX,0,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,EWR,0,0,0,0,0,0,0,
2016,7,1,5,VX,EWR,SFO,0,0,0,0,0,0,0,
2016,7,1,5,VX,EWR,SFO,0,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,LAS,42,8,0,0,0,34,0,
2016,7,1,5,VX,SFO,LAX,0,0,0,0,0,0,0,
2016,7,1,5,VX,LAX,SFO,0,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,LAX,5,0,0,0,0,0,0,
2016,7,1,5,VX,EWR,SFO,187,14,0,7,0,166,0,
2016,7,1,5,VX,SFO,DCA,0,0,0,0,0,0,0,
2016,7,1,5,VX,ORD,SFO,0,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,ORD,0,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,ORD,22,22,0,0,0,0,0,
2016,7,1,5,VX,ORD,SFO,27,0,27,0,0,0,0,
2016,7,1,5,VX,SFO,ORD,3,0,0,0,0,0,0,
2016,7,1,5,VX,ORD,SFO,13,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,PDX,0,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,JFK,0,0,0,0,0,0,0,
2016,7,1,5,VX,PDX,SFO,0,0,0,0,0,0,0,
2016,7,1,5,VX,ORD,LAX,14,0,0,0,0,0,0,
2016,7,1,5,VX,LAX,ORD,34,0,0,0,0,34,0,
2016,7,1,5,VX,LAX,ORD,21,21,0,0,0,0,0,
2016,7,1,5,VX,JFK,SFO,0,0,0,0,0,0,0,
2016,7,1,5,VX,ORD,LAX,34,3,0,0,0,31,0,
2016,7,1,5,VX,SFO,JFK,158,0,0,158,0,0,0,
2016,7,1,5,VX,JFK,LAS,10,0,0,0,0,0,0,
2016,7,1,5,VX,LAS,SFO,11,0,0,0,0,0,0,
2016,7,1,5,VX,JFK,SFO,1,0,0,0,0,0,0,
2016,7,1,5,VX,LAS,JFK,0,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,LAS,12,0,0,0,0,0,0,
2016,7,1,5,VX,SFO,JFK,163,0,0,163,0,0,0,
2016,7,1,5,VX,JFK,SFO,0,0,0,0,0,0,1,A
2016,7,1,5,VX,JFK,SFO,345,313,0,32,0,0,0,
2016,7,1,5,VX,DCA,SFO,0,0,0,0,0,0,0,
2016,7,1,5,VX,LAX,MCO,25,25,0,0,0,0,0,
2016,7,1,5,VX,MCO,LAX,4,0,0,0,0,0,0,
2016,7,1,5,VX,FLL,LAX,58,58,0,0,0,0,0,
2016,7,1,5,VX,LAX,FLL,29,9,0,0,0,20,0,
