id,value
Carrier,
Carrier.B6,
Carrier.B6.cancelA,132
Carrier.B6.cancelB,0
Carrier.B6.cancelC,82
Carrier.B6.cancelD,0
Carrier.EV,
Carrier.EV.cancelA,189
Carrier.EV.cancelB,0
Carrier.EV.cancelC,520
Carrier.EV.cancelD,0
Carrier.FL,
Carrier.FL.cancelA,0
Carrier.FL.cancelB,0
Carrier.FL.cancelC,0
Carrier.FL.cancelD,0
Carrier.AA,
Carrier.AA.cancelA,397
Carrier.AA.cancelB,0
Carrier.AA.cancelC,99
Carrier.AA.cancelD,0
Carrier.US,
Carrier.US.cancelA,0
Carrier.US.cancelB,0
Carrier.US.cancelC,0
Carrier.US.cancelD,0
Carrier.F9,
Carrier.F9.cancelA,29
Carrier.F9.cancelB,0
Carrier.F9.cancelC,0
Carrier.F9.cancelD,0
Carrier.CO,
Carrier.CO.cancelA,0
Carrier.CO.cancelB,0
Carrier.CO.cancelC,0
Carrier.CO.cancelD,0
Carrier.YV,
Carrier.YV.cancelA,0
Carrier.YV.cancelB,0
Carrier.YV.cancelC,0
Carrier.YV.cancelD,0
Carrier.WN,
Carrier.WN.cancelA,659
Carrier.WN.cancelB,0
Carrier.WN.cancelC,72
Carrier.WN.cancelD,0
Carrier.AS,
Carrier.AS.cancelA,28
Carrier.AS.cancelB,0
Carrier.AS.cancelC,0
Carrier.AS.cancelD,0
Carrier.NK,
Carrier.NK.cancelA,58
Carrier.NK.cancelB,0
Carrier.NK.cancelC,19
Carrier.NK.cancelD,0
Carrier.UA,
Carrier.UA.cancelA,402
Carrier.UA.cancelB,0
Carrier.UA.cancelC,34
Carrier.UA.cancelD,0
Carrier.HA,
Carrier.HA.cancelA,11
Carrier.HA.cancelB,0
Carrier.HA.cancelC,0
Carrier.HA.cancelD,0
Carrier.VX,
Carrier.VX.cancelA,17
Carrier.VX.cancelB,0
Carrier.VX.cancelC,1
Carrier.VX.cancelD,0
Carrier.MQ,
Carrier.MQ.cancelA,245
Carrier.MQ.cancelB,0
Carrier.MQ.cancelC,305
Carrier.MQ.cancelD,1
Carrier.XE,
Carrier.XE.cancelA,0
Carrier.XE.cancelB,0
Carrier.XE.cancelC,0
Carrier.XE.cancelD,0
Carrier.DL,
Carrier.DL.cancelA,42
Carrier.DL.cancelB,0
Carrier.DL.cancelC,60
Carrier.DL.cancelD,0
Carrier.9E,
Carrier.9E.cancelA,0
Carrier.9E.cancelB,0
Carrier.9E.cancelC,0
Carrier.9E.cancelD,0
Carrier.OO,
Carrier.OO.cancelA,379
Carrier.OO.cancelB,0
Carrier.OO.cancelC,143
Carrier.OO.cancelD,0
