id,value
Carrier,
Carrier.B6,
Carrier.B6.cancelA,883
Carrier.B6.cancelB,0
Carrier.B6.cancelC,928
Carrier.B6.cancelD,1
Carrier.EV,
Carrier.EV.cancelA,3604
Carrier.EV.cancelB,0
Carrier.EV.cancelC,6544
Carrier.EV.cancelD,1
Carrier.FL,
Carrier.FL.cancelA,0
Carrier.FL.cancelB,0
Carrier.FL.cancelC,0
Carrier.FL.cancelD,0
Carrier.AA,
Carrier.AA.cancelA,2879
Carrier.AA.cancelB,0
Carrier.AA.cancelC,730
Carrier.AA.cancelD,4
Carrier.US,
Carrier.US.cancelA,1007
Carrier.US.cancelB,0
Carrier.US.cancelC,570
Carrier.US.cancelD,0
Carrier.F9,
Carrier.F9.cancelA,308
Carrier.F9.cancelB,0
Carrier.F9.cancelC,0
Carrier.F9.cancelD,0
Carrier.CO,
Carrier.CO.cancelA,0
Carrier.CO.cancelB,0
Carrier.CO.cancelC,0
Carrier.CO.cancelD,0
Carrier.YV,
Carrier.YV.cancelA,0
Carrier.YV.cancelB,0
Carrier.YV.cancelC,0
Carrier.YV.cancelD,0
Carrier.WN,
Carrier.WN.cancelA,6122
Carrier.WN.cancelB,0
Carrier.WN.cancelC,1066
Carrier.WN.cancelD,12
Carrier.AS,
Carrier.AS.cancelA,334
Carrier.AS.cancelB,0
Carrier.AS.cancelC,18
Carrier.AS.cancelD,0
Carrier.NK,
Carrier.NK.cancelA,654
Carrier.NK.cancelB,0
Carrier.NK.cancelC,279
Carrier.NK.cancelD,3
Carrier.UA,
Carrier.UA.cancelA,2870
Carrier.UA.cancelB,0
Carrier.UA.cancelC,391
Carrier.UA.cancelD,0
Carrier.HA,
Carrier.HA.cancelA,170
Carrier.HA.cancelB,0
Carrier.HA.cancelC,0
Carrier.HA.cancelD,0
Carrier.VX,
Carrier.VX.cancelA,157
Carrier.VX.cancelB,0
Carrier.VX.cancelC,365
Carrier.VX.cancelD,0
Carrier.MQ,
Carrier.MQ.cancelA,2475
Carrier.MQ.cancelB,0
Carrier.MQ.cancelC,3385
Carrier.MQ.cancelD,1
Carrier.XE,
Carrier.XE.cancelA,0
Carrier.XE.cancelB,0
Carrier.XE.cancelC,0
Carrier.XE.cancelD,0
Carrier.DL,
Carrier.DL.cancelA,594
Carrier.DL.cancelB,0
Carrier.DL.cancelC,257
Carrier.DL.cancelD,0
Carrier.9E,
Carrier.9E.cancelA,0
Carrier.9E.cancelB,0
Carrier.9E.cancelC,0
Carrier.9E.cancelD,0
Carrier.OO,
Carrier.OO.cancelA,3205
Carrier.OO.cancelB,0
Carrier.OO.cancelC,1216
Carrier.OO.cancelD,0
